cuenta_id,fecha,transaccion,monto,descripcion
104,10-07-2024,compra,1500.0,
103,08-03-2024,deposito,3000.0,Retiro parcial
111,01-05-2024,deposito,1500.0,Ingreso extra
116,15-05-2024,retiro,1000.0,Compra en tienda
105,29-01-2024,compra,1000.0,Ingreso navideño
110,24-07-2024,retiro,1500.0,
109,23-09-2024,retiro,-500.0,Ingreso mensual
110,17-04-2024,compra,3000.0,Ingreso navideño
109,18-03-2024,deposito,3000.0,Ingreso mensual
104,23-05-2024,compra,3000.0,Ingreso navideño
102,09-02-2024,retiro,1500.0,Ingreso navideño
103,24-09-2024,deposito,1500.0,
105,24-03-2024,deposito,1000.0,Ingreso navideño
110,10-03-2024,retiro,-100.0,
108,21-11-2024,deposito,-500.0,Ingreso navideño
120,26-02-2024,compra,1000.0,
105,16-05-2024,deposito,-500.0,Ingreso extra
105,20-04-2024,retiro,-500.0,Retiro parcial
112,12-06-2024,deposito,3000.0,Ingreso navideño
115,29-11-2024,deposito,1000.0,Ingreso extra
102,18-12-2024,compra,3000.0,
112,01-04-2024,compra,2500.0,
110,01-11-2024,retiro,-500.0,Ingreso navideño
108,01-04-2024,retiro,2500.0,
108,08-12-2024,retiro,1500.0,
103,17-01-2024,compra,-100.0,Compra en tienda
105,21-06-2024,compra,3000.0,Ingreso extra
108,30-09-2024,retiro,-500.0,
103,28-09-2024,deposito,-100.0,Ingreso mensual
120,13-07-2024,deposito,1500.0,Ingreso mensual
111,16-09-2024,compra,2500.0,Ingreso mensual
106,20-07-2024,deposito,2500.0,Retiro parcial
117,27-04-2024,deposito,1500.0,Ingreso navideño
111,09-02-2024,retiro,3000.0,Ingreso extra
106,12-02-2024,deposito,-100.0,Ingreso navideño
120,27-12-2024,compra,-100.0,
102,29-04-2024,retiro,2000.0,
119,29-01-2024,deposito,0.0,
104,07-07-2024,deposito,-100.0,
113,20-07-2024,compra,2500.0,Retiro parcial
106,21-06-2024,deposito,2000.0,Ingreso extra
116,16-02-2024,compra,2000.0,
107,27-11-2024,retiro,2500.0,
111,15-08-2024,deposito,1500.0,Ingreso extra
119,24-10-2024,compra,2000.0,
106,11-07-2024,compra,1500.0,Ingreso navideño
102,14-11-2024,compra,1500.0,Retiro parcial
108,15-02-2024,compra,3000.0,Ingreso mensual
106,27-08-2024,depósito,2000.0,Compra en tienda
107,18-03-2024,compra,5000.0,
116,06-04-2024,deposito,3000.0,Ingreso mensual
110,13-11-2024,compra,-500.0,Ingreso mensual
108,21-02-2024,depósito,1500.0,Retiro parcial
